market_id,product_id
1018261,1
1018261,2
1018261,3
1018261,4
1018261,5
1018261,6
1018261,8
1018261,9
1018261,10
1018261,11
1018261,12
1018261,13
1018261,17
1018261,18
1018261,19
1018261,20
1018261,22
1018261,23
1018261,24
1018261,27
1018261,28
1009994,1
1009994,2
1009994,3
1009994,4
1009994,5
1009994,6
1009994,8
1009994,9
1009994,10
1009994,11
1009994,13
1009994,16
1009994,17
1009994,18
1009994,22
1009994,23
1009994,24
1000709,1
1000709,2
1000709,3
1000709,4
1000709,5
1000709,6
1000709,8
1000709,9
1000709,10
1000709,11
1000709,15
1000709,16
1000709,19
1000709,24
1000709,26
1000709,30
1019956,1
1019956,2
1019956,4
1019956,6
1019956,8
1019956,9
1019956,10
1019956,11
1019956,15
1019956,18
1019956,19
1019956,24
1019956,26
1009959,1
1009959,2
1009959,3
1009959,4
1009959,5
1009959,6
1009959,8
1009959,9
1009959,10
1009959,11
1009959,12
1009959,13
1009959,15
1009959,16
1009959,17
1009959,18
1009959,19
1009959,22
1009959,23
1009959,24
1009959,25
1009959,26
1009959,27
1009959,28
1009959,30
1004950,1
1004950,2
1004950,3
1004950,4
1004950,5
1004950,6
1004950,8
1004950,9
1004950,10
1004950,11
1004950,12
1004950,13
1004950,16
1004950,17
1004950,18
1004950,19
1004950,20
1004950,22
1004950,23
1004950,24
1004950,28
1019938,2
1019938,3
1019938,4
1019938,5
1019938,6
1019938,8
1019938,9
1019938,10
1019938,11
1019938,12
1019938,13
1019938,16
1019938,17
1019938,19
1019938,20
1019938,24
1019938,27
1019938,30
1021607,4
1021607,8
1021607,10
1021607,13
1021607,15
1021607,19
1021607,22
1018965,2
1018965,3
1018965,5
1018965,6
1018965,7
1018965,8
1018965,9
1018965,10
1018965,11
1018965,12
1018965,15
1018965,18
1018965,19
1018965,22
1018965,24
1018965,26
1018965,27
1009004,2
1009004,3
1009004,5
1009004,6
1009004,8
1009004,9
1009004,10
1009004,11
1009004,18
1009004,19
1009004,24
1009004,27
1019473,2
1019473,4
1019473,5
1019473,6
1019473,7
1019473,9
1019473,10
1019473,11
1019473,16
1019473,18
1019473,19
1019473,20
1019473,21
1019473,22
1019473,24
1019473,26
1019473,28
1010487,1
1010487,2
1010487,3
1010487,4
1010487,5
1010487,6
1010487,8
1010487,9
1010487,10
1010487,11
1010487,12
1010487,13
1010487,15
1010487,16
1010487,17
1010487,18
1010487,19
1010487,21
1010487,22
1010487,23
1010487,24
1010487,26
1010487,27
1010487,28
1010487,30
1019695,2
1019695,3
1019695,4
1019695,5
1019695,6
1019695,9
1019695,10
1019695,11
1019695,13
1019695,16
1019695,17
1019695,18
1019695,19
1019695,20
1019695,22
1019695,24
1019695,25
1019695,26
1019695,27
1019695,30
1021442,2
1021442,5
1021442,6
1021442,8
1021442,9
1021442,10
1021442,11
1021442,12
1021442,13
1021442,17
1021442,19
1021442,20
1021442,22
1021442,24
1019676,1
1019676,2
1019676,3
1019676,5
1019676,6
1019676,8
1019676,9
1019676,10
1019676,11
1019676,12
1019676,13
1019676,17
1019676,18
1019676,19
1019676,21
1019676,22
1019676,24
1019676,28
1019351,2
1019351,3
1019351,5
1019351,6
1019351,8
1019351,9
1019351,10
1019351,11
1019351,12
1019351,17
1019351,18
1019351,21
1019351,22
1019351,24
1019351,27
1019847,2
1019847,3
1019847,5
1019847,6
1019847,8
1019847,9
1019847,10
1019847,11
1019847,13
1019847,16
1019847,17
1019847,18
1019847,19
1019847,21
1019847,22
1019847,23
1019847,24
1019847,28
1008961,1
1008961,2
1008961,3
1008961,6
1008961,8
1008961,9
1008961,10
1008961,11
1008961,15
1008961,22
1008961,24
1008961,27
1019203,1
1019203,2
1019203,4
1019203,8
1019203,9
1019203,10
1019203,11
1019203,16
1019203,18
1019203,19
1019203,20
1019203,22
1019203,24
1019203,26
1019203,28
1012233,1
1012233,2
1012233,4
1012233,5
1012233,6
1012233,7
1012233,8
1012233,9
1012233,10
1012233,11
1012233,13
1012233,15
1012233,17
1012233,18
1012233,19
1012233,22
1012233,24
1012233,26
1005258,8
1005258,9
1005258,15
1005258,23
1005258,24
1005258,27
1008054,1
1008054,2
1008054,3
1008054,4
1008054,5
1008054,6
1008054,7
1008054,8
1008054,9
1008054,10
1008054,11
1008054,12
1008054,15
1008054,16
1008054,18
1008054,19
1008054,20
1008054,21
1008054,22
1008054,24
1008054,26
1008054,28
1008054,30
1008612,1
1008612,2
1008612,3
1008612,5
1008612,6
1008612,8
1008612,9
1008612,10
1008612,11
1008612,13
1008612,16
1008612,17
1008612,18
1008612,19
1008612,20
1008612,22
1008612,24
1008612,27
1008612,28
1008612,30
1018304,2
1018304,3
1018304,6
1018304,8
1018304,9
1018304,10
1018304,11
1018304,12
1018304,13
1018304,15
1018304,17
1018304,18
1018304,19
1018304,22
1018304,24
1018304,26
1018304,28
1004070,1
1004070,2
1004070,3
1004070,4
1004070,5
1004070,6
1004070,8
1004070,9
1004070,10
1004070,11
1004070,13
1004070,15
1004070,16
1004070,18
1004070,19
1004070,22
1004070,23
1004070,24
1004070,25
1004070,27
1021689,1
1021689,2
1021689,3
1021689,5
1021689,6
1021689,7
1021689,8
1021689,9
1021689,10
1021689,11
1021689,13
1021689,15
1021689,16
1021689,17
1021689,18
1021689,19
1021689,20
1021689,22
1021689,23
1021689,24
1021689,25
1021689,27
1021689,30
1019371,2
1019371,3
1019371,4
1019371,5
1019371,6
1019371,8
1019371,9
1019371,10
1019371,11
1019371,13
1019371,16
1019371,18
1019371,19
1019371,24
1021578,2
1021578,5
1021578,6
1021578,9
1021578,10
1021578,16
1021578,17
1021578,18
1021578,22
1021578,24
1000519,2
1000519,4
1000519,9
1000519,10
1000519,11
1000519,12
1000519,16
1000519,21
1000519,24
1019113,1
1019113,2
1019113,3
1019113,5
1019113,6
1019113,8
1019113,9
1019113,10
1019113,11
1019113,12
1019113,13
1019113,16
1019113,17
1019113,24
1021464,1
1021464,2
1021464,3
1021464,5
1021464,6
1021464,7
1021464,8
1021464,9
1021464,10
1021464,11
1021464,13
1021464,15
1021464,16
1021464,17
1021464,18
1021464,19
1021464,20
1021464,23
1021464,24
1021464,27
1021597,2
1021597,3
1021597,4
1021597,8
1021597,9
1021597,10
1021597,11
1021597,12
1021597,13
1021597,17
1021597,18
1021597,19
1021597,24
1021597,25
1019831,2
1019831,4
1019831,6
1019831,9
1019831,10
1019831,11
1019831,13
1019831,17
1019831,18
1019831,19
1019832,2
1019832,4
1019832,5
1019832,6
1019832,8
1019832,9
1019832,10
1019832,11
1019832,13
1019832,17
1019832,19
1012389,2
1012389,4
1012389,8
1012389,9
1012389,15
1012389,16
1012389,18
1012389,19
1012389,20
1012389,22
1012389,23
1012389,24
1012389,28
1020150,2
1020150,4
1020150,5
1020150,6
1020150,8
1020150,9
1020150,10
1020150,11
1020150,13
1020150,19
1020150,20
1020150,24
1020150,28
1021309,1
1021309,2
1021309,3
1021309,4
1021309,5
1021309,6
1021309,9
1021309,10
1021309,11
1021309,12
1021309,13
1021309,16
1021309,17
1021309,18
1021309,19
1021309,20
1021309,21
1021309,22
1021309,24
1021309,27
1021309,28
1011171,1
1011171,2
1011171,3
1011171,4
1011171,5
1011171,6
1011171,8
1011171,9
1011171,10
1011171,11
1011171,13
1011171,15
1011171,16
1011171,17
1011171,18
1011171,19
1011171,21
1011171,22
1011171,24
1011171,26
1011171,27
1011171,28
1011171,30
1003563,2
1003563,3
